,HE_stoch_standard,HE_stoch_strong,MeanEnergyLoss,S125,Zenith
13122,7,1,2.4776564922657633,1.0806028338666103,0.24499514438494252
13123,9,1,2.477682627716811,1.0801912441777528,0.24403618872656008
13124,9,1,2.533152694167803,0.9900711784049259,0.23860454137226172
13125,6,1,2.6099654020820897,1.0624098959796333,0.24650912012399084
13126,5,2,2.6628971840644966,1.356378488843534,0.439937760738482
13127,1,0,2.8370891688706847,1.3869177793728191,0.4487108591164013
13128,5,0,2.4893168226870017,1.3760362020967243,0.4439225305858545
13129,3,1,2.7781576808945023,1.5528401348222252,0.3965308089059003
13130,2,2,2.974975592533227,1.5367913923031136,0.39420164883406494
13131,6,2,2.8130377613959485,1.7163136862571964,0.3126098644605366
13132,4,0,2.925563703959664,1.6944328338326953,0.3148089814593429
13133,2,0,2.877583748344124,1.6999624348057996,0.31166500795075125
13134,7,3,3.0155303116299854,1.852496184325923,0.3367716607990445
13135,1,1,3.246153178646283,1.9037259895179508,0.3368489031936157
13136,8,2,3.141128865454922,1.858786478614035,0.3344984604793493
13137,1,1,3.4740344732092905,1.870259804096336,0.33965918415992524
13138,3,2,2.9264776406798343,1.9479947457558868,0.3921687720223228
13139,2,0,2.847833560058433,1.966857981411688,0.39386033321739244
13140,3,0,2.964401374639614,1.9269461821259561,0.3957383114690356
13141,3,1,2.9008952837760447,1.8944082059692935,0.39213293932048954
13142,1,0,2.4462237796821373,1.9336537798502764,0.39073854935304553
13143,7,1,3.088251547021962,1.8934842449168032,0.38697649507061627
13144,8,2,3.165485218644892,2.2244796140640277,0.31044552725235564
13145,1,1,3.683936976795879,2.2439354280078145,0.2933818750825261
13146,5,5,3.51077634335224,3.22393708542317,0.3880755762790207
13147,5,2,4.021248828735971,3.245862325189604,0.46003538594124294
13148,8,5,3.933271947165026,3.5158270970250305,0.27043452909908616
13149,9,6,4.288594640782521,3.551298933442186,0.24295113404084967
13150,4,0,2.5313815293421977,1.0965725010765608,0.4560872336917323
13151,3,1,2.8257050178526595,1.117699478533364,0.4516102981431631
13152,4,0,2.438921715614151,1.1290485760725444,0.45079054793961015
13153,7,1,2.6796071916022073,1.3597346753007091,0.24068928366150555
13154,1,1,2.7591130988460337,1.3385934171690366,0.2422644473961335
13155,3,2,2.571715807161932,1.4049126295872627,0.2426971098231272
13156,4,2,2.6599499933511126,1.337830273988268,0.2443372007293183
13157,5,3,2.7671840545998827,1.3353188794487032,0.24206468704466255
13158,7,2,2.7227331256593854,1.354608281893734,0.2396772397301179
13159,7,0,2.6818359066700226,1.594317175882371,0.07719449903108266
13160,5,2,2.6609702032813676,1.5783852589111351,0.0797617584845467
13161,4,2,2.83710551874915,1.6055375406317163,0.07545026533880028
13162,8,3,2.603015059438826,1.6045038447924096,0.0789985880598425
13163,5,1,2.520383861229539,1.582436582282849,0.07842599630798253
13164,9,2,2.8280353621891696,1.6011852605057086,0.30154468233491016
13165,7,0,3.0368695859415973,2.0402706979375074,0.05792448495106717
13166,9,3,2.761679533088782,2.0233971544581104,0.051586627031683374
13167,10,1,3.1307774495022014,2.0416688386671336,0.06151698397025518
13168,13,1,3.207179464216554,2.0970462842886235,0.07039099629372858
13169,7,1,3.308799273342021,2.0597398443914683,0.07265757446267385
13170,7,2,3.353611347927089,2.0549397598976666,0.08330170055492969
13171,10,0,3.1950856042704174,2.0389350646081708,0.0737582904702867
13172,6,1,3.403784600035239,2.045438210895126,0.07342032675064036
13173,8,2,3.3436603986380735,2.036031355322299,0.06759479701748727
13174,8,2,3.2545831094871325,2.077372342023817,0.30841010168417826
13175,8,2,3.2574316904533793,2.086107290046937,0.30664322778527664
13176,5,1,3.2809885162236005,2.0989821286274974,0.3105971022691989
13177,8,3,3.4927821610820127,2.557244355649578,0.23422270167621573
13178,8,2,3.6782492602576253,2.5504106605679695,0.23099154817426815
13179,8,3,3.623760304876718,2.7414400408677757,0.14760705191074663
13180,10,4,3.5577068241692444,2.747333217116469,0.15099695977442096
13181,8,6,3.4631659649403383,2.767392712185103,0.15121579757695347
13182,8,4,3.7751798955345572,2.9664514519138363,0.3106569255820322
13183,9,3,3.7057548886835976,3.0131060579993285,0.3046942846563945
13184,9,2,3.648486296548607,2.9589912795629454,0.3094610824592481
13185,9,3,3.8043798799093294,3.0103551419534584,0.20021627412988652
13186,9,2,3.8242335928850006,3.0054515388669856,0.2014630751062243
13187,6,4,3.965823826124143,3.075634033814585,0.20189543563730927
13188,6,3,3.9163107540718807,3.564708507299014,0.41087685289399145
13189,4,2,2.4728862891487307,1.1440356931331088,0.10625809649944751
13190,6,1,2.4116883545752983,1.143316244614219,0.10997540717978405
13191,4,2,2.5887324948077857,1.0961851223515389,0.10610079406334538
13192,6,0,2.460563081055697,1.1265546254385477,0.10931639860986708
13193,2,1,2.55236076319329,1.1435143976994349,0.1068339413715127
13194,4,2,2.4037235171985922,1.255380997485152,0.11188269042113852
13195,6,2,2.2322073678849503,1.2588583244174059,0.11763208033937644
13196,5,0,2.305054113135663,1.2642171175761279,0.11364973743230866
13197,8,3,2.4003030885193626,1.2475565609408985,0.10603488194174915
13198,3,1,2.3574948141416177,1.218537487753471,0.1173139055824941
13199,7,1,2.3811590954992052,1.3604523086824667,0.19305365017513498
13200,7,3,2.518674323237706,1.370152666489517,0.1956210814128716
13201,7,1,2.856831398602677,1.681551838966982,0.2043239097789673
13202,2,0,2.683655575546883,1.6905088059979363,0.2075219221516642
13203,7,1,2.7964865969861066,1.6530963657109687,0.206898798384612
13204,8,2,2.786008302215056,1.659481423103525,0.20872033948597624
13205,3,0,3.0379672925734287,1.7222667327305725,0.4564468342643697
13206,4,3,3.0963206633994766,1.7410842217456786,0.451544372014411
13207,4,1,3.099977914100375,1.8233858501254483,0.4688893862755159
13208,1,1,2.8930321303739794,2.112408450552282,0.4888563502247987
13209,4,2,3.181975779482887,2.1771450721771393,0.44182980957043716
13210,10,2,3.4929823481363536,2.516408162846984,0.14177091310521428
13211,11,3,3.4032355273273627,2.6034527431653736,0.13574183567038967
13212,7,0,3.900452936010355,3.215578561705435,0.24445740949206707
13213,7,5,3.8758307035471633,3.1864463767320625,0.23464217187160674
13214,3,1,3.9283717059562724,3.232862576797138,0.48939108067945636
13215,4,1,4.506128723388602,3.5902350010402273,0.40981328912856974
13216,5,3,2.839354781631141,1.2832098018385505,0.4212088357769983
13217,5,0,2.876795582521644,1.4571095455021652,0.34835046203069764
13218,3,0,2.8651549817171245,1.4468252196262243,0.34630294989609434
13219,6,3,2.8619548874523177,1.4121075797926155,0.3356568695455353
13220,3,1,3.564585850429992,2.1490389374289496,0.4208861543687439
