,HE_stoch_standard,HE_stoch_strong,MeanEnergyLoss,S125,Zenith,energy,mass
13399,3,2,1.05753834052017,-0.37279429967895794,0.24841775690406998,5.901657747274917,4.0
13400,3,0,1.5319143200492789,0.08293113335079826,0.2560065081124714,6.133392828335503,4.0
13401,1,1,1.554012529126817,0.1841564419691473,0.25475024946588576,6.133392828335503,4.0
13402,0,0,1.0677804583744348,0.0929382817731659,0.24815164606767004,6.133392828335503,4.0
13403,3,1,1.8798170811018031,0.17214169356908338,0.24491318213399227,6.133392828335503,4.0
13404,5,2,1.749872554467646,0.13622862852944762,0.25773003910689907,6.133392828335503,4.0
13405,1,1,1.7037819461123749,0.05542101395197552,0.25109752112590433,6.133392828335503,4.0
13406,4,2,1.5241436459664042,0.0022030355792788583,0.25935037477715994,6.133392828335503,4.0
13407,5,3,1.6677948773513411,0.0066564436479299004,0.2521746196796313,6.133392828335503,4.0
13408,6,3,1.633861041541444,0.24619917338273067,0.2513910687759924,6.133392828335503,4.0
13409,4,1,1.8149543543357078,-0.029424602986915196,0.31246829057683856,6.2673604294360565,4.0
13410,3,2,1.7102512006932373,0.24419595880690625,0.30877160390349534,6.2673604294360565,4.0
13411,3,1,1.7386435152634914,0.09224802476635482,0.3201113860992204,6.2673604294360565,4.0
13412,0,0,1.6572017932170025,0.17985560072388249,0.31456037672425685,6.2673604294360565,4.0
13413,3,0,1.9492308952870139,0.15218385398790257,0.3090703849340013,6.2673604294360565,4.0
13414,4,1,1.8892213923079242,0.1350579832477221,0.30866445359146644,6.2673604294360565,4.0
13415,4,2,2.008917858900428,0.13190542631544844,0.317933911406302,6.2673604294360565,4.0
13416,2,1,2.0695957042084885,0.11405501580605291,0.3158805432046816,6.2673604294360565,4.0
13417,3,1,2.1423230066166674,0.047796052522029786,0.3111161218324199,6.2673604294360565,4.0
13418,1,1,1.8732171775080215,0.1978768627536676,0.3091254119992781,6.2673604294360565,4.0
13419,3,1,1.7504104558496807,0.2632769171017784,0.31889114588553147,6.2673604294360565,4.0
13420,4,4,1.873838547346147,0.26118393311145205,0.3086199266367591,6.2673604294360565,4.0
13421,3,2,1.7223282952330359,0.18031404944024132,0.3182499696512715,6.2673604294360565,4.0
13422,8,4,1.7842958814752814,0.32840963112697796,0.16723700673038477,6.349153245113434,4.0
13423,6,2,1.6036131200163923,0.3245434074784334,0.1733935195107108,6.349153245113434,4.0
13424,6,3,1.784072399824606,0.347730878996273,0.16165976461718978,6.349153245113434,4.0
13425,5,1,1.7800907230041911,0.3611593582850787,0.17220395418538237,6.349153245113434,4.0
13426,5,4,1.7717628712896625,0.3386442404870098,0.16274231595641853,6.349153245113434,4.0
13427,6,1,1.6470517515096734,0.3696572792532109,0.162352487206455,6.349153245113434,4.0
13428,5,1,1.705786903359207,0.3281357720305777,0.16212223829718742,6.349153245113434,4.0
13429,3,1,1.853416474780737,0.3108647560808917,0.1772810635216131,6.349153245113434,4.0
13430,5,0,1.785777982465826,0.3928480467843909,0.17129185870600327,6.349153245113434,4.0
13431,5,2,1.8131633265948364,0.2815955748117416,0.16618778336207862,6.349153245113434,4.0
13432,6,3,1.7304583321755693,0.2630881243008112,0.17087468310689014,6.349153245113434,4.0
