,HE_stoch_standard,HE_stoch_strong,MeanEnergyLoss,S125,Zenith
10236,3,1,1.247570908032631,-0.08051956623034329,0.422213839893403
10237,1,1,0.8363430065621436,-0.06498999113674576,0.4305357528699889
10238,2,1,1.0439946364618573,-0.07141919170940894,0.42089111328484163
10239,2,1,0.6432909532936724,-0.08572418670253956,0.419950027070378
10240,3,1,1.1583365012192313,-0.06108786979601046,0.17113204390476922
10241,3,1,1.3116045925802315,-0.11042386808569835,0.17115406398245936
10242,3,2,1.323725218935332,0.0228651952697172,0.1738060771988219
10243,3,1,1.3095906805141344,0.011671846045960126,0.16245634647898122
10244,4,2,1.2507059733022077,-0.007150807916233656,0.16930899881192296
10245,3,1,1.1499879572468659,-0.08017996924856517,0.16104180428334125
10246,2,0,1.1485279322806043,0.175807057086899,0.42610163276945556
10247,1,0,1.1952412873293157,0.28528323371508435,0.42952486974353965
10248,1,0,1.0996113813445842,0.07582381995845154,0.4324219867277539
10249,2,0,1.0098483667632445,0.156076456124274,0.4169507274851334
10250,2,1,0.8726727646515753,0.24577621849706863,0.42688431439602104
10251,3,1,0.8237418903854146,0.2393856728771615,0.42714144551483546
10252,2,1,2.0079862512522584,0.05591678630673915,0.48804333939227185
10253,2,0,1.3269623881112387,0.0053496121155687274,0.4904905670516029
10254,0,0,1.5526160466314094,0.25682061414564433,0.4824389413272465
10255,3,1,1.22162276521799,0.4348415544805415,0.04994638409509333
10256,6,3,1.129920562347917,0.4303450184222024,0.04597401381231636
10257,3,2,1.0248478566707522,0.5150771915285342,0.05274916688045783
10258,3,1,1.222814565460355,0.4075546344126342,0.054448843437947314
10259,3,1,1.2596060879914373,0.4185882501216489,0.0481833516485759
10260,0,0,0.8496965998316393,0.35527440817283296,0.053578948461855624
10261,2,0,1.0895094537932228,0.3566114270809302,0.059203759765304564
10262,4,3,0.597042401072241,0.371986796960905,0.049472672519244476
10263,3,2,1.006921782455004,0.5131082936413871,0.0512989022163759
10264,4,1,1.3559955560769816,0.41288357449376006,0.05447804462250305
10265,3,0,0.7360070153622565,0.3630581721571264,0.04852984627375978
10266,2,1,1.370375878260972,0.392988392970591,0.05082184804806733
10267,5,1,1.085237692702526,0.3987585036831116,0.053315522004242055
10268,1,0,1.1498129792939606,0.47253183830861856,0.05365429033210933
10269,3,1,1.4873120732212328,0.43317246060909076,0.0524507909632157
10270,3,2,1.1430978660665452,0.5084285815805889,0.05550960145915296
10271,1,0,1.3500757995423616,0.45053825000869807,0.3822307933297182
10272,2,0,1.469624953944593,0.42017242018520795,0.3798918899423698
10273,1,1,1.1181331884580317,0.46419597761741294,0.3818994381282277
10274,5,1,1.6490504697073467,0.5802623905381874,0.2776624363096607
10275,1,1,1.7481259026310383,0.5727428004681667,0.28236790112496735
10276,5,2,1.7654785818020988,0.6464826834694395,0.28071281302995965
10277,3,1,1.6454503038390436,0.6393110195771814,0.2789155401259311
